"Créateur";"Titre";"Editeur";"Date";"Description";"Type";"Format";"Langue";"Identifiant";"URL";"SOURCE";"droits"
"Aghion , Marie Reine";"Princesse Emeraude : roman inédit";"Société d'éditions publications et industries annexes";"impr. 1935";"Collection Fama ; 409";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_409_C90837";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_409_C90837.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Alma , Robert (18..-19..)";"L'aviateur inconnu : roman";"Ed. de la ""Mode nationale""";"impr. 1931";"Collection Fama ; 258";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_258_C90780";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_258_C90780.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Beaume , Georges (1861-1940)";"Le château vert : roman";"Société d'éditions publications et industries annexes";"impr. 1935";"Collection Fama ; 418";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_418_C90840";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_418_C90840.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Bonneau , Albert (1898-1967)";"La fée du bled : roman";"Société d'éditions publications et industries annexes";"impr. 1934";"Collection Fama ; 373";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_373_C90813";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_373_C90813.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Bonneau , Albert (1898-1967)";"Le puy des auberges : roman inédit";"Société d'éditions publications et industries annexes";"impr.1934";"Collection Fama ; 401";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_401_C90832";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_401_C90832.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Bonneau , Albert (1898-1967)";"Sa majesté Monette : roman";"Société d'éditions publications et industries annexes";"impr. 1934";"Collection Fama ; 408";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_408_C90836";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_408_C90836.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Bonneau , Albert (1898-1967)";"Le moulin de mes rêves";"M. Daubin";"DL 1948";"Collection Fama : nouvelle série ; 22";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_22_C90753";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_22_C90753.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Bourgey , Philippe (18..-19..)";"Arlette, lingère : roman";"Ed. de la ""Mode Nationale""";"impr. 1933";"Collection Fama ; 317";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_317_C90793";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_317_C90793.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Bouvet , Marie-Louise (1869-1954)";"Le château d'Orémuse : roman";"Société d'éditions, publications et industries annexes";"impr.1933";"Collection Fama ; 339";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_339_C90812";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_339_C90812.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Bouvet , Marie-Louise (1869-1954)";"Terre inconnue : roman";"Ed. de la ""Mode Nationale""";"impr. 1929";"Collection Fama ; 200";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_200_C90770";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_200_C90770.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Bovet , Marie-Anne de (1855-19..)";"Veuvage blanc : roman";"Ed. de la ""Mode Nationale";"impr. 1932";"Collection Fama ; 281";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_281_C90787";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_281_C90787.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Bozzi , José";"Après l'orage : roman";"Société d'éditions, publications et industries annexes";"impr. 1934";"Collection Fama ; 365";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_365_C90807";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_365_C90807.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Caton , Henriette";"Le destin veille : roman";"M. Daubin";"DL 1949";"Collection Fama : nouvelle série ; 28";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_28_C90754";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_28_C90754.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Celval , Félix (18..-1947)";"La belle aux flots dormant : roman";"Société d'éditions, publications et industries annexes";"impr. 1934";"Collection Fama ; 367";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_367_C90809";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_367_C90809.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Chigot , Elise-Marie (1873-19..)";"Le destin de Colette : roman";"Ed. de la ""Mode Nationale""";"impr. 1930";"Collection Fama ; 234";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_234_C90775";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_234_C90775.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Chigot , Elise-Marie (1873-19..)";"Le diamant rose d'Ali : roman";"Ed. de ""la mode nationale";"impr. 1932";"Collection Fama ; 332";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_332_C90800";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_332_C90800.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Chigot , Elise-Marie (1873-19..)";"Les illusions d'un coeur : roman";"Ed. de la ""Mode Nationale""";"impr. 1932";"Collection Fama ; 289";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_289_C90790";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_289_C90790.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Colonel Royet (18..-19..)";"Fleur des champs : roman";"Société d'éditions, publications et industries annexes";"impr. 1934";"Collection Fama ; 375";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_375_C90816";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_375_C90816.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Colonel Royet (18..-19..)";"Le serment de Juanita : roman";"Ed. de la ""Mode Nationale""";"impr. 1933";"Collection Fama ; 326";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_326_C90797";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_326_C90797.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Conyers , Dorothéa (1871-1949)";"Bobbie";"Société d'éditions, publications et industries annexes";"impr. 1934";"Collection Fama ; 382";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_382_C90821";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_382_C90821.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Corday , Pierre de (18..-19..)";"Un mariage romanesque";"Ed. de la ""Mode Nationale""";"impr. 1932";"Collection Fama ; 322";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_322_C90795";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_322_C90795.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Demousson , Pierre (18..-19..)";"L'émeraude du lama : roman";"Ed. de la ""Mode Nationale""";"impr. 1930";"Collection Fama ; 235";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_235_C90776";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_235_C90776.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Énault , Louis (1824-1900)";"Le château des anges . Tome I";"Ed. de la ""Mode Nationale""";"impr. 1928";"Collection Fama ; 181";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_181_C90769";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_181_C90769.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Falet , Paul (18..-19..)";"L' oiseau d'amour : roman";"Ed. de la ""Mode Nationale""";"impr. 1932";"Collection Fama ; 327";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_327_C90798";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_327_C90798.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Fiel , Marthe (1873-1949)";"Ghislaine et sa dot (prends ma place) : roman";"Société d'éditions, publications et industries annexes";"impr. 1934";"Collection Fama ; 380";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_380_C90820";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_380_C90820.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Foley , Charles (1861-1956)";"Un mystérieux touriste : roman";"Société d'éditions, publications et industries annexes";"impr. 1934";"Collection Fama ; 379";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_379_C90819";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_379_C90819.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Francis , Antoine (18..-19..)";"Les coeurs prédestinés : roman";"Ed. de la ""Mode Nationale""";"impr. 1932";"Collection Fama ; 323";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_323_C90796";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_323_C90796.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Geestelink , Marguerite";"La jeune fille aux perles : roman";"Société d'éditions, publications et industries annexes";"impr. 1934";"Collection Fama ; 371";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_371_C90811";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_371_C90811.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Grandmougin , Charles (1850-1930)";"Les soeurs Ferny";"Ed. de la ""Mode Nationale""";"Impr. 1926";"Collection Fama ; 119";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_119_C90765";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_119_C90765.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Hullet , Marie-Anne (18..-19..)";"Le spectre voilé : roman";"Ed. de ""la mode nationale";"impr. 1932";"Collection Fama ; 334";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_334_C90802";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_334_C90802.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Ichard , Jeanne Louise Marie (1876 -1951)";"Coeur qui soupire : roman";"Ed. de la ""Mode Nationale""";"impr. 1932";"Collection Fama ; 304";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_304_C90792";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_304_C90792.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Ichard , Jeanne Louise Marie (1876 -1951)";"Le roman de Guérande : roman";"Société d'éditions, publications et industries annexes";"impr. 1934";"Collection Fama ; 391";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_391_C90825";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_391_C90825.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Idiers , Marcel";"Le fiancé de Danielle : roman";"Ed. de la ""Mode nationale""";"Impr. 1931";"Collection Fama ; 265";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_265_C90782";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_265_C90782.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Idiers , Marcel";"Les coeurs esclaves : roman";"Société d'éditions publications et industries annexes";"impr. 1935";"Collection Fama ; 422";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_422_C90842";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_422_C90842.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Jagot , Henry (1854-1933)";"L'enchantement de Lucie Lauriac";"Ed. de ""La Mode Nationale";"impr. 1931";"Collection Fana ; 272";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_272_C90784";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_272_C90784.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Jagot , Henry (1854-1933)";"Le calvaire d'une âme : roman";"Ed. de ""La Mode Nationale";"impr. 1932";"Collection Fama ; 284";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_284_C90789";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_284_C90789.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Jardys , Philippe (1900-1979)";"Pour vous aimer : roman";"Ed. de la ""Mode Nationale";"impr. 1930";"Collection Fama ; 221";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_221_C90772";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_221_C90772.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Jardys , Philippe (1900-1979)";"Quand un coeur s'est donné... : roman";"Société d'éditions publications et industries annexes";"impr. 1935";"Collection Fama ; 410";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_410_C90838";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_410_C90838.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Jardys , Philippe (1900-1979)";"Ton coeur est un écho fidèle";"Société d'éditions, publications et industries annexes";"impr. 1934";"Collection Fama ; 388";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_388_C90823";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_388_C90823.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Kéry , Jean (1893-1985)";"Un coeur et un million : roman";"Société d'éditions publications et industries annexes";"impr. 1934";"Collection Fama ; 405";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_405_C90834";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_405_C90834.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"La Frau , Hugues (18..-19..)";"L'erreur de maître Destange : roman";"Ed. de la ""Mode nationale""";"impr. 1931";"Collection Fama ; 263";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_263_C90781";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_263_C90781.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Langlade , Henriette";"Le plus doux secret : roman";"Société d'éditions, publications et industries annexes";"impr. 1934";"Collection Fama ; 376";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_376_C90817";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_376_C90817.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Langlade , Henriette";"Les étapes de la vie : roman";"Ed. de la mode nationale";"impr. 1933";"Collection Fama ; 318";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_318_C90794";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_318_C90794.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Lauvernière , H";"Les principes de tante Gertrude : roman";"Ed. de la ""Mode Nationale""";"impr. 1932";"Collection Fama ; 333";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_333_C90801";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_333_C90801.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Le Faure , Georges (1856-1953)";"La mystérieuse aventure de Fridette : roman";"Société d'éditions, publications et industries annexes";"impr. 1934";"Collection Fama ; 372";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_372_C90812";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_372_C90812.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Maisonneuve , Yves";"Le sphinx aux cheveux d'or : roman";"Société d'éditions, publications et industries annexes";"iimpr. 1934";"Collection Fama ; 374";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_374_C90814";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_374_C90814.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Le Jeune , Raoul (1880-....)";"L'amour, c'est notre loi";"Ed. de ""La Mode Nationale";"impr. 1931";"Collection Fana ; 275";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_275_C90785";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_275_C90785.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
