"Créateur";"Titre";"Editeur";"Date";"Description";"Type";"Format";"Langue";"Identifiant";"URL";"SOURCE";"droits"
"Bonneau , Albert (1898-1967)";"Le coeur de Minouchette : roman";"Société d'éditions publications et industries annexes";"impr. 1937";"Collection Fama ; 553";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_553_C90867";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_553_C90867.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Bonneau , Albert (1898-1967)";"Ma chère petite ville : roman";"Société d'éditions publications et industries annexes";"impr. 1938";"Collection Fama ; 594";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_594_C90884";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_594_C90884.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Bonneau , Albert (1898-1967)";"Tantinette : roman";"Société d'éditions publications et industries annexes";"impr. 1936";"Collection Fama ; 480";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_480_C90851";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_480_C90851.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Boulan , Robert-Jean (1903-1959)";"Au paradis des étoiles : roman";"Société d'éditions publications et industries annexes";"impr. 1938";"Collection Fama ; 596";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_596_C90886";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_596_C90886.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Boulan , Robert-Jean (1903-1959)";"L' ombre sur la route : roman";"Société d'éditions publications et industries annexes";"impr. 1938";"Collection Fama ; 609";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_609_C90895";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_609_C90895.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Cère , Lise de (1893-1978)";"La fée du val d'Erèbe : roman";"Société d'éditions publications et industries annexes";"impr.1937";"Collection Fama ; 556";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_556_C90868";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_556_C90868.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Chaigneau , Pierre";"Une idylle en mer : roman";"Société d'éditions publications et industries annexes";"impr. 1938";"Collection Fama ; 584";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_584_C90880";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_584_C90880.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Ciska";"J'aime qu'on m'aime : roman";"Société d'éditions publications et industries annexes";"impr. 1938";"Collection Fama ; 581";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_581_C90879";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_581_C90879.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Contino , Magda";"Le monsieur des ruines : roman";"Société d'éditions publications et industries annexes";"impr. 1939";"Collection Fama ; 649";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_649_C90914";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_649_C90914.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Crisenoy , Maria de (1882-1965)";"L'aventure : roman";"Société d'éditions publications et industries annexes";"impr.1940";"Collection Fama ; 694";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_694_C90923";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_694_C90923.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Dauméric , Renée";"L'amour et l'amitié : roman";"Société d'éditions, publications et industries annexes";"impr. 1941";"Collection Fama ; 700";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_700_C90925";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_700_C90925.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Geestelink , Marguerite";"L'or du Liban : roman";"Société d'éditions publications et industries annexes";"impr. 1938";"Collection Fama ; 577";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_577_C90877";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_577_C90877.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Geestelink , Marguerite";"Le douloureux passé : roman";"Société d'éditions publications et industries annexes";"impr. 1941";"Collection Fama ; 707";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_707_C90929";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_707_C90929.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Gérard , Edith";"L'heure du pardon : roman";"Société d'éditions publications et industries annexes)";"impr. 1939";"Collection Fama ; 624";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_624_C90901";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_624_C90901.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Gillet-Allart , Georges";"Le chant du passé : roman";"Société d'éditions publications et industries annexes";"impr.1938";"Collection Fama ; 563";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_563_C90872";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_563_C90872.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Ichard , Jeanne Louise Marie (1876 -1951)";"L'amour décide : roman";"Société d'éditions, publications et industries annexes";"impr. 1939";"Collection Fama ; 627";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_627_C90903";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_627_C90903.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Ichard , Jeanne Louise Marie (1876 -1951)";"La tour maudite : roman";"Société d'éditions, publications et industries annexes";"impr. 1937";"Collection Fama ; 546";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_546_C90863";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_546_C90863.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Ichard , Jeanne Louise Marie (1876 -1951)";"Tendresse d'aînée : roman";"Société d'éditions, publications et industries annexes";"impr. 1941";"Collection Fama ; 698";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_698_C90924";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_698_C90924.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Idiers , Marcel";"L'enlèvement d'Yvonne : roman";"Société d'éditions publications et industries annexes";"impr. 1941";"Collection Fama ; 704";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_704_C90928";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_704_C90928.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Jardys , Philippe (1900-1979)";"Femme au coeur mystérieux : roman";"Société d'éditions publications et industries annexes";"impr. 1938";"Collection Fama ; 562";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_562_C90882";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_562_C90882.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Jardys , Philippe (1900-1979)";"La villa des heures claires : roman";"Société d'éditions publications et industries annexes";"impr. 1937";"Collection Fama ; 524";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_524_C90857";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_524_C90857.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Jardys , Philippe (1900-1979)";"Tout près l'un de l'autre : roman";"Société d'éditions publications et industries annexes";"impr. 1938";"Collection Fama ; 588";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_588_C90889";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_588_C90889.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Kéry , Jean (1893-1985)";"La blonde fée de Kerreval : roman inédit";"Société d'éditions publications et industries annexes";"impr. 1935";"Collection Fama ; 438";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_438_C90846";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_438_C90846.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Kéry , Jean (1893-1985)";"La rançon du mensonge : roman";"Société d'éditions publications et industries annexes";"impr. 1939";"Collection Fama ; 630";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_630_C90907";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_630_C90907.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Kéry , Jean (1893-1985)";"Tuteur malgré soi : roman";"Société d'éditions publications et industries annexes";"impr. 1938";"Collection Fama ; 600";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_600_C90892";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_600_C90892.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Langlois , Hélène";"Mag ou Mamie : roman";"Société d'éditions publications et industries annexes";"impr. 1940";"Collection Fama ; 675";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_675_C90920";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_675_C90920.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Le Faure , Georges (1856-1953)";"La romance aux étoiles : roman";"Société d'éditions publications et industries annexes";"impr. 1936";"Collection Fama ; 486";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_486_C90853";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_486_C90853.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Lettry , Hélène (18..-19..)";"Pour vivre heureux... : roman";"Société d'éditions publications et industries annexes";"impr. 1935";"Collection Fama ; 453";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_453_C90847";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_453_C90847.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Lidone";"La haine aux yeux tendres : roman";"Société d'éditions publications et industries annexes";"impr. 1939";"Collection Fama ; 621";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_621_C90900";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_621_C90900.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Lidone";"La poursuite blanche : roman";"Société d'éditions publications et industries annexes";"impr. 1938";"Collection Fama ; 589";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_589_C90890";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_589_C90890.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Lorn , Anny (1882-1977)";"Le prince charmant : roman";"Société d'éditions publications et industries annexes";"impr. 1938";"Collection Fama ; 608";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_608_C90894";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_608_C90894.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Lorn , Anny (1882-1977)";"Le quatorzième convive : roman";"Société d'éditions publications et industries annexes";"impr.1937";"Collection Fama ; 535";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_535_C90885";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_535_C90885.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Louys , René";"Fille d'aviatrice : roman";"Société d'éditions, publications et industries annexes";"impr. 1937";"Collection Fama ; 552";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_552_C90866";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_552_C90866.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Montignac , Georges";"Le coeur de Jacqueline : roman";"Société d'éditions publications et industries annexes";"impr. 1938";"Collection Fama ; 605";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_605_C90893";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_605_C90893.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Morin-Sarrus , Jacques";"C'est vous que j'attendais!... : roman";"Société d'éditions publications et industries annexes";"impr. 1938";"Collection Fama ; 593";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_593_C90883";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_593_C90883.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Morin-Sarrus , Jacques";"Dans la tour ténébreuse : roman";"Société d'éditions publications et industries annexes";"impr. 1938";"Collection Fama ; 607";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_607_C90888";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_607_C90888.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Morin-Sarrus , Jacques";"La vie est une valse... : roman";"Société d'éditions publications et industries annexes";"impr. 1938";"Collection Fama ; 579";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_579_C90878";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_579_C90878.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Mouthiez , Claude (18..-19..)";"Rêve trompeur : roman";"Société d'éditions publications et industries annexes";"impr.1937";"Collection Fama ; 534";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_534_C90859";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_534_C90859.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Novel , Guy de";"Le charmeur invisible : roman";"Société d'éditions publications et industries annexes";"impr. 1935";"Collection Fama ; 425";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_425_C90843";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_425_C90843.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Priollet , Marcel (1884-1960)";"Quatre coeurs sur les routes de l'amour . [IV] . Les barreaux d'or de ma cage : roman inédit";"Société d'éditions publications et industries annexes";"impr. 1934";"Collection Fama ; 407";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_407_C90856";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_407_C90856.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Quinel , Charles (1868-1942)";"Petite maman jolie : roman";"Société d'éditions, publications et industries annexes";"impr. 1939";"Collection Fama ; 628";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_628_C90904";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_628_C90904.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Saint-Clair , Simone (1896-1975)";"Huguette et ses vingt ans : roman";"Société d'éditions, publications et industries annexes";"impr. 1939";"Collection Fama ; 631";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_631_C90908";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_631_C90908.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Sempré , Jacques (18..-19..)";"L'image d'amour : roman";"Société d'éditions publications et industries annexes";"impr. 1935";"Collection Fama ; 434";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_434_C90845";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_434_C90845.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Thibaudet , Marguerite";"Madame ma tutrice : roman";"Société d'éditions publications et industries annexes";"impr. 1935";"Collection Fama ; 455";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_455_C90848";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_455_C90848.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Virmonne , Claude (1900-19..)";"Comme un conte bleu... : roman";"Société d'éditions publications et industries annexes";"impr.1937";"Collection Fama ; 536";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_536_C90860";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_536_C90860.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Yvelise , Jean d'";"Au soleil du pardon : roman";"Société d'éditions, publications et industries annexes";"impr. 1938";"Collection Fama ; 567";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_567_C90873";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_567_C90873.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
"Bernède , Arthur (1871-1937)";"La ville aux illusions : roman";"Société d'éditions publications et industries annexes";"impr. 1936";"Collection Fama ; 478";"text";"application/pdf ";"fre";"BUCA_Bastaire_Fama_478_C90850";"http://192.168.129.239/files/fichiers_bcu/BUCA_Bastaire_Fama_478_C90850.pdf";"Bibliothèque Université Clermont Auvergne";"Pas d’utilisation commerciale"
